"VMXC","VMX4","VMXM","VMXF","trial","RMSE_CH4"
0.222779150120914,2.14636647328734,0.287402822263539,0.373040433600545,"000000",0.2877
0.828731040307321,0.697662983438931,0.93956944681704,0.725151233072393,"000001",0.4412
0.94176295431098,3.15341534331674,0.475032989063766,0.296301858266816,"000002",0.267
0.33830405062763,1.57755517921178,1.0601255713962,1.11126429784345,"000003",0.556
0.486948374041822,3.62544418734033,0.663489396101795,1.00962779934052,"000004",0.5296
1.1024933358538,1.13284530853853,0.0209059165907092,0.127292875794228,"000005",0.3755
0.677669438882731,2.60246265692404,1.10429711460602,0.932889368070755,"000006",0.513
0.064465449587442,0.214247923262883,0.509451443620492,0.513406085781753,"000007",0.3464
0.136677765776403,2.87495135099161,1.23224572574254,0.0616956067271531,"000008",0.3785
0.76135311878752,1.88322230363265,0.608396148507018,1.03647694323445,"000009",0.5383
1.1825514352764,1.95351690606913,0.762434672634117,0.602496466541197,"000010",0.3895
0.560369278525468,0.863309294090141,0.148855099373031,0.805051157181151,"000011",0.4399
0.399640012613963,2.43999084751122,0.332278456760105,0.703735326614697,"000012",0.4079
1.0339059962309,0.403927345736884,0.965710882842541,0.433203917788342,"000013",0.311
0.919665715214796,3.31660253402079,0.19298874338856,1.24453633164521,"000014",0.5647
0.287740464392118,1.41447940411745,0.79681552303955,0.201778281561565,"000015",0.3076
0.261228284949902,3.43643235610798,0.560623448842671,0.869810685096309,"000016",0.4889
0.864158305630554,1.29273982637096,1.20388434706256,0.518268729664851,"000017",0.3578
1.06042602197267,2.55853674161481,0.119209693593439,0.947759901348036,"000018",0.5082
0.455153737962246,0.287290930689778,0.71352900788188,0.130944587173872,"000019",0.3535
0.606215062784031,2.07338005879428,1.01356044120621,0.271310281998012,"000020",0.2812
1.21873940210789,0.741532236663625,0.360565337084699,1.15549806170166,"000021",0.5396
0.715513705613557,2.99346419106005,0.826537492475472,0.349259643466212,"000022",0.2835
0.100497589923907,1.76662364486838,0.2418202048284,0.768174069037195,"000023",0.4147
