"rubcarb","rubox","shortalb","paralb","rootpor","leafon","leaffoff","QNTM","trial","RMSE_CO2"
38.9932054281235,0.270675927400589,0.211546964198351,0.0756702810525894,0.0314607679098845,123.843134045601,793.828809261322,0.0680741962045431,"000000",279951152462.436
46.2939202040434,0.230563228018582,0.231159686902538,0.0692019664216787,0.0791717289201915,120.3993013734,792.407775595784,0.158957801992074,"000001",9999
43.6915333196521,0.295780308358371,0.213154519768432,0.0915244536008686,0.0686656476929784,122.274159248918,793.735062479973,0.181509476760402,"000002",9999
31.0020245052874,0.20620319051668,0.245274870796129,0.0604766980279237,0.0569660464301705,123.219822836109,790.008846502751,0.0918155913241208,"000003",5000.4083
33.3311747759581,0.286020529456437,0.233858165889978,0.0517700364347547,0.0492741140909493,124.967622035183,793.015230763704,0.180756991542876,"000004",9999
40.7179480604827,0.215194211062044,0.201914866548032,0.0953483093995601,0.0613580392487347,120.915726721287,790.726241581142,0.120322287408635,"000005",9999
49.2965913750231,0.261686434876174,0.241624167654663,0.0685336349066347,0.0864832520484924,121.542737525888,794.40109077841,0.0696322731208056,"000006",3.9036
36.6736121103168,0.24032148104161,0.222176291979849,0.0874714311677963,0.0391497002542019,123.091581072658,791.837940160185,0.12891309093684,"000007",5.5081
35.0795863196254,0.29290613969788,0.239084181375802,0.0969432764220983,0.0763326074928045,123.476307257079,792.781106601469,0.167639473173767,"000008",9999
47.7025751210749,0.208992291428149,0.221199902240187,0.0533993476536125,0.0343000019341707,121.900150505826,790.960331200622,0.115573851251975,"000009",5.6214
42.2925713472068,0.267203234694898,0.234444693755358,0.0827492699492723,0.0542405855096877,120.026226709597,794.791280194186,0.0818891874048859,"000010",5000.4058
34.905788525939,0.233925678115338,0.204061938822269,0.0637847588863224,0.0713909960724413,124.099331693724,791.447716201656,0.135108051914722,"000011",5.5011
31.9322792626917,0.251975541748106,0.218426652206108,0.0738586087245494,0.0641385435685515,122.723351595923,794.063513609581,0.0553955780342221,"000012",3.896
44.6217976137996,0.249947306420654,0.248986362339929,0.0802926023956388,0.0464934934303164,121.79401488509,792.173046148382,0.152011511800811,"000013",9999
45.3830584138632,0.276882985513657,0.207445610174909,0.0589504924137145,0.0420509514771402,121.167365955189,793.344233236276,0.195085301948711,"000014",9999
38.0823340825737,0.224221510253847,0.225494640832767,0.0900249389465898,0.0835821171663702,124.598533730023,790.399650740437,0.0972787177190185,"000015",4.3776
38.6640590429306,0.280105119012296,0.219102351600304,0.0658083306625485,0.0584473909623921,121.661510462873,792.336481739767,0.196476579690352,"000016",9999
46.0514522157609,0.221781106572598,0.238545692851767,0.0847279596142471,0.0709195399470627,122.610225500539,793.924521864392,0.105554837081581,"000017",4.6544
43.9632873423398,0.255000357236713,0.204988789139316,0.051370363868773,0.0814770050346851,124.486911981367,790.245702997781,0.0542971980758011,"000018",3.8961
31.3409088924527,0.246140761114657,0.236936706351116,0.0949667091481388,0.0328909572958946,121.0363658797,793.512859200127,0.144028433272615,"000019",6.3192
34.3240678869188,0.264761302154511,0.24834714224562,0.0926870433613658,0.0406419457308948,122.177933426574,790.816152063198,0.0828416596632451,"000020",4.2269
41.6241818666458,0.237149334512651,0.216234472766519,0.0616578369401395,0.088726473134011,123.734711254947,792.939963960089,0.143238182552159,"000021",5.4333
48.3610903099179,0.289095019735396,0.228087337873876,0.0776326199993491,0.0636670637503266,124.358672602102,791.62091920618,0.166394103132188,"000022",132932.4107
35.6709616072476,0.212021687533706,0.208467040676624,0.0711458525620401,0.0507003270462155,120.304946540855,794.642521035857,0.10715067978017,"000023",5007.577
37.2650970704854,0.257875694148242,0.228673865366727,0.0569883185438812,0.0738173649832606,120.628176312894,791.207030201331,0.0780548768583685,"000024",5000.4051
49.9552162364125,0.243351254891604,0.210614113323391,0.0880808370187879,0.0555496820434928,124.699449953623,792.549060797319,0.13015788430348,"000025",5.1368
40.0496682524681,0.283578219171613,0.24580715559423,0.0726958061568439,0.0356749021075666,122.822476699948,791.386111071333,0.17262742863968,"000026",7.9288
32.7495638094842,0.218417488224804,0.215258083399385,0.0791116321459413,0.0786929441057146,121.254254826345,794.877304146066,0.119370391825214,"000027",9999
30.4105349257588,0.298805507551879,0.200887434976175,0.0831491111777723,0.0860044524818659,120.522043076344,791.946183862165,0.189493123022839,"000028",7.253
43.0329038389027,0.2023970304057,0.231271660653874,0.0641661463305354,0.0433638536185026,123.946496676654,794.314785180613,0.09291454795748,"000029",4.3832
46.9621947966516,0.273897677846253,0.224374483665451,0.0996683648787439,0.0478577796556056,123.321676352061,790.479871286079,0.059797508828342,"000030",3.8966
39.5748111605644,0.228122440632433,0.242257184768096,0.0561429848894477,0.0665097239054739,122.395391687751,793.278656350449,0.157565947575495,"000031",6.425
39.8609979636967,0.294830405991524,0.235869058640674,0.0708421376068145,0.0384327986463904,121.352698262781,790.226749731228,0.133000902365893,"000032",5.7762
47.3179640248418,0.20316129680723,0.203748331172392,0.0772528616245836,0.0872002701088786,122.929007601924,793.531782673672,0.074928616406396,"000033",3.9038
42.6867690682411,0.269959583319724,0.240601708507165,0.0619646747130901,0.0602860004268587,124.80296716094,792.200378300622,0.117415469931439,"000034",4567474.7184
30.1535091362894,0.228826057817787,0.220988611737266,0.0930639167781919,0.0503460364602506,120.729709588923,794.060595510527,0.174297963734716,"000035",9999
33.0883743241429,0.260199411772192,0.206617783103138,0.0939031526912004,0.0581224029511213,122.496429127641,791.678906073794,0.0947315271943808,"000036",4.2472
40.3189011104405,0.237816708069295,0.226066035963595,0.050383256515488,0.0675091782957315,123.425613250583,794.584504375234,0.187977694487199,"000037",9999
49.6763536892831,0.285841281618923,0.217508881539106,0.085788630740717,0.0799800940789282,124.052302711643,790.913162315264,0.154879108956084,"000038",9999
36.8971207737923,0.212919942475855,0.249452555458993,0.0667985612060875,0.0306525156833231,120.6212875247,792.842923915014,0.0627870425581932,"000039",3.901
35.9474587440491,0.267182665597647,0.213407110702246,0.0549818215426058,0.0826013988442719,120.946810315363,791.287879743613,0.103746900241822,"000040",4.4497
48.7267011962831,0.231712457351387,0.243789476156235,0.0985833641607314,0.0430315537936986,124.390795426443,794.975565266795,0.198001274140552,"000041",9999
41.2878893502057,0.29145572502166,0.211892526037991,0.065324138617143,0.0456266775727272,122.515978082083,791.147823003121,0.146724323229864,"000042",6.5423
34.0573530271649,0.20662180846557,0.229776419047266,0.084237139346078,0.0650054754316807,121.570161907002,792.608297788538,0.0513169213198125,"000043",3.8941
31.6894084773958,0.276227687112987,0.241187056014314,0.0789057151880115,0.0722838219814003,120.213102148846,790.617195204832,0.140404358878732,"000044",5.4848
44.2226779460907,0.222643018793315,0.223138414090499,0.072413368569687,0.05334787202999,124.264844874851,793.141362224706,0.0859770340379328,"000045",4.3972
45.7627480104566,0.251159929390997,0.233330920292065,0.0882897817995399,0.0353133039548993,123.637869833037,791.966358055361,0.109114787122235,"000046",5345.1733
38.3057724125683,0.246942021138966,0.202771595539525,0.0572675846982747,0.0753191930428147,122.089178874157,794.294640780427,0.164732690900564,"000047",9999
37.7935890480876,0.254387781210244,0.24637854504399,0.0861640564166009,0.0517103082686663,124.152150242589,793.5977368569,0.112410366209224,"000048",9999
45.0247357226908,0.244495130237192,0.214430238353088,0.0672043612226844,0.0626571949571371,120.080724013969,790.146142351441,0.170518571417779,"000049",9999
41.9075033522857,0.233408874274315,0.231057333543431,0.0785479192583458,0.0394863761757328,123.657513623379,792.39649581937,0.114746441289933,"000050",4.7847
45.1775435550036,0.285945510175134,0.205082065726329,0.0724620106433464,0.0589654061422569,121.793036408868,793.924915473838,0.195444812852317,"000051",5000.4336
50,0.266306369582945,0.202322084039565,0.0948563860621896,0.0601330238837259,124.315561737175,792.871783231674,0.164406277481974,"000052",6.6173
49.2010270254904,0.236712344057527,0.208264815615234,0.0822029305786603,0.0627253502044401,124.795473733803,792.745775109949,0.125299215163896,"000053",5.1959
31.924740409186,0.287973388430629,0.243958823783063,0.0551073933888792,0.0496828691697531,125,793.354591965449,0.169999214725502,"000054",9999
30,0.231246843852452,0.2,0.0598791533880093,0.077739939378166,124.086014211069,790.964967551622,0.149310228774235,"000055",5.7354
37.0667011252649,0.231858892043704,0.212437003481805,0.0732573115909905,0.0843555104534415,124.427697783089,791.011931750102,0.126605592354202,"000056",5.1208
38.3745871042178,0.256570158480172,0.21439539784542,0.0813324561486139,0.0334739488190105,123.584030816791,793.545953677896,0.0880660959356642,"000057",4.3785
38.459925695934,0.28058124302284,0.239863999496371,0.0589043935583036,0.0559739775743961,125,792.674790932256,0.145905263523774,"000058",909569.1627
36.6044107479406,0.28613453749804,0.218765585393145,0.0573885792309944,0.04801002974291,123.448282122117,792.444532443109,0.172194133777498,"000059",9999
32.6777267000904,0.224014955045901,0.206137773437865,0.0717186356726671,0.0797400851045471,124.490656729567,790.866840623695,0.147731416947191,"000060",5.7946
37.3649182689292,0.279758152983693,0.243632521096466,0.0590091272699952,0.0463868334880177,124.406367655651,792.518261394057,0.15430307646126,"000061",6.4896
41.1940133634851,0.238479438223004,0.215596161367505,0.0768480044096218,0.0634220763930462,120.888072776494,794.205568463403,0.19162388183179,"000062",9999
33.1895290621648,0.282152975886412,0.204767669207264,0.0835425717861523,0.0782589555491349,120.623637404952,792.704578778322,0.190044269064799,"000063",9999
47.4272149523445,0.251146224775888,0.236883877381805,0.0778166777476549,0.0762821727754376,121.095433716366,794.690514798586,0.0775254140766574,"000064",4.1243
41.4160350976361,0.22703578878985,0.21883561603801,0.0863620254793761,0.036522343712541,122.025326360773,791.531179903414,0.150693971334022,"000065",6.5277
38.6823707031181,0.229184774475028,0.221752350870813,0.0856426534486308,0.0397378632723252,122.332780759695,791.913226953326,0.1539364524173,"000066",6.5231
40.3907368117674,0.229332322004943,0.230980600337797,0.0916950853175808,0.0663778758824388,122.195597902605,793.342898660455,0.159912241202319,"000067",1426696024419.89
50,0.272725530755828,0.214704059286794,0.1,0.0503645151049321,123.335841506294,790.956822948539,0.107652296323121,"000068",9999
34.3974362543296,0.244781937103311,0.230149490780548,0.0605969893734882,0.0739459895789377,120,791.760692433473,0.0808980025351392,"000069",4.1618
41.2336513494668,0.241336592411883,0.241863794098442,0.0740351563685512,0.0498155482761962,120.081259869086,794.101845582955,0.0773982651145434,"000070",4.2111
34.5072974107268,0.248731510525733,0.233859256413962,0.0933375782338371,0.0553455287138879,122.529893999482,790.959858828258,0.0911534453454858,"000071",4.2901
44.2272625111552,0.265064557830475,0.20369002352077,0.0751985756385764,0.0657438694038934,121.07728439481,794.319999734131,0.2,"000072",9999
49.2646765602365,0.240523861446459,0.216669670748835,0.0937133055750134,0.0550214662512232,123.714703788937,792.706291264059,0.171750795734007,"000073",2469397.8841
50,0.226470442240232,0.222688801436816,0.0940250031051328,0.0516190122294808,123.599646300185,792.433736452453,0.149339552448522,"000074",9999
50,0.265361255511597,0.217105940788986,0.1,0.0487426823458568,123.117665337385,791.334064833947,0.135686914779974,"000075",9999
39.1851837608665,0.270128987691462,0.200808505166114,0.0780050732080657,0.0743970094228572,120.424048352072,793.639739468115,0.2,"000076",9999
43.5586312884417,0.230575083520208,0.231897934245915,0.0963088063073453,0.0603078027676852,122.347885597628,792.911652140469,0.160371710919931,"000077",6.5178
35.1186560032731,0.3,0.2,0.0915350705923078,0.09,121.423470431741,791.413609137605,0.182116091470075,"000078",9999
31.4522875710803,0.209644313115487,0.208605069041532,0.0825420637253626,0.09,124.376314097474,790.093320626732,0.129379644598447,"000079",9140.6354
30.9240206422102,0.236079450534395,0.244764613512425,0.0858916285439442,0.0488500583574878,120.526507204375,793.597014017094,0.107650759653481,"000080",4.7313
